번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분
23,078150,HB테크놀러지,032902,특수 목적용 기계 제조업,"78,990,426","39,495,213,000",500,원(KRW)
24,036640,HRS,032002,합성고무 및 플라스틱 물질 제조업,"16,354,800","8,177,400,000",500,원(KRW)
25,299170,IBKS제10호스팩,116601,금융 지원 서비스업,"4,330,000","433,000,000",100,원(KRW)
26,335890,IBKS제11호스팩,116601,금융 지원 서비스업,"4,790,000","479,000,000",100,원(KRW)
27,335870,IBKS제12호스팩,116601,금융 지원 서비스업,"3,120,000","312,000,000",100,원(KRW)
28,276920,IBKS제7호스팩,116601,금융 지원 서비스업,"3,650,000","365,000,000",100,원(KRW)
29,095340,ISC,032602,전자부품 제조업,"14,142,508","7,071,254,000",500,원(KRW)
30,099520,ITX엠투엠,032605,영상 및 음향기기 제조업,"16,466,131","8,233,065,500",500,원(KRW)
31,950170,JTC,074701,종합 소매업,"35,005,517",0,0,일본엔(JPY)
32,067290,JW신약,032102,의약품 제조업,"41,667,166","20,833,583,000",500,원(KRW)
33,035900,JYP Ent.,105902,오디오물 출판 및 원판 녹음업,"35,494,992","17,942,201,500",500,원(KRW)
34,024840,KBI메탈,032402,1차 비철금속 제조업,"32,950,848","16,475,424,000",500,원(KRW)
35,024120,KB오토시스,033003,자동차 신품 부품 제조업,"11,500,000","5,750,000,000",500,원(KRW)
36,021320,KCC건설,064101,건물 건설업,"21,400,000","107,000,000,000","5,000",원(KRW)
37,036670,KCI,032004,기타 화학제품 제조업,"11,270,000","5,635,000,000",500,원(KRW)
38,044180,KD,064101,건물 건설업,"78,353,304","39,176,652,000",500,원(KRW)
39,151860,KG ETS,053802,폐기물 처리업,"36,000,000","20,051,860,000",500,원(KRW)
40,046440,KG모빌리언스,105802,소프트웨어 개발 및 공급업,"29,906,957","14,953,478,500",500,원(KRW)
41,035600,KG이니시스,105802,소프트웨어 개발 및 공급업,"27,904,434","13,952,217,000",500,원(KRW)
42,060720,KH바텍,032602,전자부품 제조업,"23,191,108","11,595,554,000",500,원(KRW)
43,083470,KJ프리텍,032202,플라스틱제품 제조업,"24,704,729","12,352,364,500",500,원(KRW)
44,122450,KMH,106002,텔레비전 방송업,"22,868,495","11,434,247,500",500,원(KRW)
45,052900,KMH하이텍,032202,플라스틱제품 제조업,"46,885,499","23,442,749,500",500,원(KRW)
46,058400,KNN,106002,텔레비전 방송업,"132,429,720","66,214,860,000",500,원(KRW)
47,114450,KPX생명과학,032101,기초 의약물질 및 생물학적 제제 제조업,"15,000,000","7,500,000,000",500,원(KRW)
48,036030,KTH,074601,상품 중개업,"35,715,022","35,715,022,000","1,000",원(KRW)
49,060370,KT서브마린,064203,전기 및 통신 공사업,"21,900,000","21,900,000,000","1,000",원(KRW)
50,065150,MP그룹,074603,음·식료품 및 담배 도매업,"80,808,407","8,080,840,700",100,원(KRW)
51,219550,MP한강,074604,생활용품 도매업,"56,831,270","5,683,127,000",100,원(KRW)
52,160550,NEW,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","27,906,106","13,953,053,000",500,원(KRW)
53,053290,NE능률,105801,"서적, 잡지 및 기타 인쇄물 출판업","14,254,958","7,127,479,000",500,원(KRW)
54,104200,NHN벅스,105802,소프트웨어 개발 및 공급업,"14,827,550","7,413,775,000",500,원(KRW)
55,060250,NHN한국사이버결제,106309,기타 정보 서비스업,"22,971,393","11,485,696,500",500,원(KRW)
56,030190,NICE평가정보,106309,기타 정보 서비스업,"60,714,820","30,357,410,000",500,원(KRW)
57,024940,PN풍년,032509,기타 금속 가공제품 제조업,"10,000,000","5,000,000,000",500,원(KRW)
58,218410,RFHIC,032604,통신 및 방송 장비 제조업,"23,847,620","11,923,810,000",500,원(KRW)
59,091340,S&K폴리텍,032602,전자부품 제조업,"11,703,721","5,851,860,500",500,원(KRW)
